j	G(j)
1	5
2	8
3	10
4	15
5	17
6	20
7	22
8	25
9	26
10	29
11	31
12	33
13	36
14	39
15	42
16	44
17	47
18	49
19	52
20	54
21	57
22	59
23	62
24	64
25	67
26	69
27	72
28	74
29	77
30	79
31	82
32	84
33	87
34	90
35	92
36	95
37	97
38	100
39	102
40	105
41	107
42	110
43	112
44	115
45	117
46	120
47	122
48	125
49	127
50	130
51	133
52	135
53	138
54	140
55	143
56	145
57	148
58	150
59	153
60	155
61	158
62	160
63	163
64	165
65	168
66	170
67	173
68	175
69	178
70	181
71	183
72	186
73	188
74	191
75	193
76	196
77	198
78	201
79	203
80	206
81	208
82	211
83	213
84	216
85	218
86	221
87	224
88	226
89	229
90	231
91	234
92	236
93	239
94	241
95	244
96	246
97	249
98	251
99	254
100	256
101	259
102	261
103	264
104	266
105	269
106	272
107	274
108	277
109	279
110	282
111	284
112	287
113	289
114	292
115	294
116	297
117	299
118	302
119	304
120	307
121	309
122	312
123	314
124	317
125	320
126	322
127	325
128	327
129	330
130	332
131	335
132	337
133	340
134	342
135	345
136	347
137	350
138	352
139	355
140	357
141	360
142	363
143	365
144	368
145	370
146	373
147	375
148	378
149	380
150	383
151	385
152	388
153	390
154	393
155	395
156	398
157	400
158	403
159	405
160	408
161	411
162	413
163	416
164	418
165	421
166	423
167	426
168	428
169	431
170	433
171	436
172	438
173	441
174	443
175	446
176	448
177	451
178	454
179	456
180	459
181	461
182	464
183	466
184	469
185	471
186	474
187	476
188	479
189	481
190	484
191	486
192	489
193	491
194	494
195	496
196	499
197	502
198	504
199	507
200	509
201	512
202	514
203	517
204	519
205	522
206	524
207	527
208	529
209	532
210	534
211	537
212	539
213	542
214	544
215	547
216	550
217	552
218	555
219	557
220	560
221	562
222	565
223	567
224	570
225	572
226	575
227	577
228	580
229	582
230	585
231	587
232	590
233	593
234	595
235	598
236	600
237	603
238	605
239	608
240	610
241	613
242	615
243	618
244	620
245	623
246	625
247	628
248	630
249	633
250	635
251	638
252	641
253	643
254	646
255	648
256	651
257	653
258	656
259	658
260	661
261	663
262	666
263	668
264	671
265	673
266	676
267	678
268	681
269	684
270	686
271	689
272	691
273	694
274	696
275	699
276	701
277	704
278	706
279	709
280	711
281	714
282	716
283	719
284	721
285	724
286	726
287	729
288	732
289	734
290	737
291	739
292	742
293	744
294	747
295	749
296	752
297	754
298	757
299	759
300	762
301	764
302	767
303	769
304	772
305	774
306	777
307	780
308	782
309	785
310	787
