Month	C1	C2	C3	C4	C5	C6
1	6	8	12	10	9	11
2	10	8	9	10	7	9
3	11	12	8	8	8	9
4	12	6	8	9	7	10
5	10	7	9	8	11	11
6	8	8	9	8	10	10
7	9	7	10	9	12	10
8	8	11	11	11	11	11
9	8	10	10	10	8	11
10	9	12	10	10	8	12
11	11	11	11	10	9	6
12	10	8	11	10	10	7
13	10	8	12	10	11	8
14	10	9	6	10	10	9
15	10	10	7	11	9	10
16	10	11	8	11	8	10
17	10	10	9	11	8	10
18	10	10	9	11	8	10
19	10	11	9	11	8	10
20	10	11	9	11	8	10
21	10	11	8	11	8	10
22	10	11	8	12	8	10
23	10	11	8	12	8	10
24	10	11	8	12	8	10
25	10	11	8	12	8	10
26	10	11	8	12	8	11
27	10	12	8	8	12	10
28	10	12	8	8	12	10
29	10	12	8	8	12	10
30	10	12	8	8	12	11
31	11	12	8	8	12	11
32	11	12	8	8	12	11
33	11	12	8	7	12	11
34	11	13	7	7	13	11
35	11	13	7	7	13	11
36	11	13	7	7	13	11
37	11	13	7	9	12	11
38	11	13	7	9	12	11
39	11	13	7	9	12	11
40	11	13	7	9	12	11
41	11	14	7	9	12	11
42	11	14	7	9	12	11
43	11	14	7	9	12	11
44	11	14	7	9	12	11
45	11	14	7	9	12	11
46	11	14	7	8	12	11
47	11	14	6	8	13	11
48	11	14	6	8	13	11
49	11	15	6	8	13	11
50	11	15	6	8	13	11
